category,title,context,group,url,contact
綜合業務,檢舉管道,"問題反映或檢舉貪瀆不法的管道?
有任何問題或興革意見，或發現任何涉及風紀或違法舞弊等情事，請您依以下聯絡管道主動向政風室反映，政風室依規定對檢舉人身分絕對保密：
一、廉政檢舉專線電話：02-27899448
二、廉政檢舉信箱：ethics@gate.sinica.edu.tw
三、傳真專線電話：02-27824516
",政風,,
陽光法案,公職人員財產申報,"本院有哪些公職人員需要辦理財產申報？
依據《公職人員財產申報法》第2條及第4條規定，本院應進行財產申報之公職人員，依受理申報機關之不同，分述如下：
一、向監察院申報之公職人員：本院院長、副院長及代表本院出任私法人之董事。
二、向本院政風室申報之公職人員，包括：
本院秘書長
法制處處長
學術儀器事務處處長
國際事務處處長
秘書處處長
資訊服務處處長及科長
智財技轉處處長及科長
總務處處長及科長
南院服務處處長及科長
人事室主任
主計室主任及科長
政風室主任及科長
",政風,,政風室 02-2789-9452
陽光法案,公職人員財產申報,"財產申報之種類有哪些？
一、定期申報：每年申報一次，於11月1日至12月31日期間完成申報。
二、代理申報：代理需申報職務滿3個月之日起，3個月內完成申報。
三、就(到)職申報：應於就(到)職3個月內完成申報。
四、卸(離)職或解除代理申報：應於喪失應申報之身分起2個月內，將卸(離)職或解除代理當日之財產情形申報。

",政風,,政風室 02-2789-9452
陽光法案,公職人員財產申報,"未於期限內完成申報或申報不實，會有哪些影響？
依據《公職人員財產申報法》第12條第3項規定，無正當理由未依規定期限申報或故意申報不實者，處新臺幣6萬元以上，120萬元以下罰鍰。

",政風,,政風室 02-2789-9452
陽光法案,公職人員財產申報,"如何進行財產申報？
申報義務人可使用紙本申報表向受理申報機關申報，亦可透過公職人員財產申報系統進行財產申報。目前全力推動線上系統作業，以符合環保無紙化理念。申報系統連結如下：https：//pdps.nat.gov.tw/

",政風,,政風室 02-2789-9452
陽光法案,公職人員財產申報,"申報義務人該如何查詢自己的財產資料？
申報義務人可利用財產申報授權服務，此服務係透過網路介接方式，向政府機關、金融機構及保險公司等，取得申報義務人之財產資料，即可使用查得之資料進行申報。
如無意願利用授權服務，申報義務人則需自行前往前述政府機關、金融機構及保險公司等處查閱蒐集財產資料進行申報。
建議申報義務人得多加利用財產申報授權服務，免去查詢財產資料之奔波。

",政風,,政風室 02-2789-9452
陽光法案,公職人員財產申報,"如果有意願使用授權服務，該如何辦理授權？
法務部財產申報擴大授權服務，自112年起提供每年度共8批次申報授權服務。於每批次財產申報授權服務開始前，政風室會詢問尚未授權之申報義務人有無授權意願。如有授權意願，申報義務人可透過財產申報系統進行授權，申報義務人配偶則可透過紙本或財產申報系統完成授權，政風室將隨時提供協助。",政風,,政風室 02-2789-9452
陽光法案,公職人員利益衝突迴避法,"公職人員利益衝突迴避法適用主體涵蓋了那些人？
依公職人員利益衝突迴避法第2條規定：
本法所稱公職人員，其範圍如下：
一、總統、副總統。
二、各級政府機關（構）、公營事業總、分支機構之首長、副首長、幕僚長、副幕僚長與該等職務之人。
三、政務人員。
四、各級公立學校、軍警院校、矯正學校校長、副校長；其設有附屬機構者，該機構之首長、副首長。
五、各級民意機關之民意代表。
六、代表政府或公股出任其出資、捐助之私法人之董事、監察人與該等職務之人。
七、公法人之董事、監察人、首長、執行長與該等職務之人。
八、政府捐助之財團法人之董事長、執行長、秘書長與該等職務之人。
九、法官、檢察官、戰時軍法官、行政執行官、司法事務官及檢察事務官。
十、各級軍事機關（構）及部隊上校編階以上之主官、副主官。
十一、其他各級政府機關（構）、公營事業機構、各級公立學校、軍警院校、矯正學校及附屬機構辦理工務、建築管理、城鄉計畫、政風、會計、審計、採購業務之主管人員。
十二、其他職務性質特殊，經行政院會同主管府、院核定適用本法之人員。
依法代理執行前項公職人員職務之人員，於執行該職務期間亦屬本法之公職人員。


 
",政風,,政風室 02-2789-9452
陽光法案,公職人員利益衝突迴避法,"哪些人是公職人員的關係人？
依公職人員利益衝突迴避法第3條，本法所定公職人員之關係人，其範圍如下：
一、公職人員之配偶或共同生活之家屬。
二、公職人員之二親等以內親屬。
三、公職人員或其配偶信託財產之受託人。但依法辦理強制信託時，不在此限。
四、公職人員、第一款與第二款所列人員擔任負責人、董事、獨立董事、監察人、經理人或相類似職務之營利事業、非營利之法人及非法人團體。但屬政府或公股指派、遴聘代表或由政府聘任者，不包括之。
五、經公職人員進用之機要人員。
六、各級民意代表之助理。
前項第六款所稱之助理指各級民意代表之公費助理、其加入助理工會之助理及其他受其指揮監督之助理。

",政風,,政風室 02-2789-9452
陽光法案,公職人員利益衝突迴避法,"公職人員本人或其配偶、二親等以內親屬擔任負責人之非營利事業，是否成為公職人員之關係人？
公職人員、其配偶、共同生活之家屬或二親等內親屬擔任社團法人、財團法人之董事、監察人，並與公職人員服務之機關或受其監督之機關交易者，所在多有。現行僅營利事業受本法規範，本次修正於第3條第1項第4款將非營利之法人及非法人團體均納入關係人之範疇，以求周延。

",政風,,政風室 02-2789-9452
陽光法案,公職人員利益衝突迴避法,"公職人員自行迴避後，需踐行何種程序？
公職人員知有利益衝突之情事者，應即自行迴避，並應以書面通知相關機關。民意代表應通知各該民意機關。第2條第1項第6款、第7款之公職人員，應通知指派、遴聘或聘任機關。其他公職人員，應通知其服務之機關團體。如應迴避之公職人員為機關首長時，為免迴避流於形式，爰規定應通知其服務機關團體及其上級機關團體。

",政風,,政風室 02-2789-9452
