category,title,context,group,url,contact
交通,院區停車,"進入中央研究院院區之汽車，除公務、國定例假日或情況特殊經中央研究院核准者外，應依下列標準繳交通行費：
 定期收費：一般收費區每年新臺幣2800元。優惠收費區每年新臺幣1400元。限中研院員工申請。
 計時收費：收費時段為上班日之7時至22時，每小時新臺幣20元，第1小時未滿30分鐘者，免收費用，自第2小時起，每小時未滿30分鐘，以半小時新臺幣10元計費，超過30分鐘後，以1小時新臺幣20元計費。
 
 定期收費申請，請至總務處網頁下載停車證申請表，填寫後洽單位窗口核章，再送總務處申請，核准後將另行通知領取停車證及繳費。
 
 院區汽車通行及停放違規之處理方式如下：
 紀錄車輛違規情形外，得加鎖並加收通行費新臺幣200元整。
 使用過期通行證者，應自期限日之翌日，依計時收費標準收費；偽(變)造通行證者，應自所偽(變)造通行證之日起，依計費收費標準收費。拒繳者，在一定期間內，暫停其汽車在院區通行、停放之權利。
 
 院區機車通行管理方式：
 除警局、駐警小隊之公務巡邏車、身障機車外，其餘機車一律不准在院區內通行。
 除緊急事件經特准進入院區之機車外，其餘機車應停駐指定之機車專用停車場。",生活,https://dga.sinica.edu.tw/posts/167917,02-2789-9432
交通,車輛充電,"中央研究院於人文社會科學館地下2樓停車場停車格，設置3組電動汽車交流型慢充充電柱，提供持有本院停車證之院內同仁(電動汽車)使用。
 
 汽車充電柱收費方式以「員工識別證」進行開通與儲值，經由充電柱感應識別證作為收費扣款之依據，適用規格、收費標準及申請方式，詳見總務處網頁「中央研究院院區電動汽車充電柱停車格收費及使用說明」。",生活,https://dga.sinica.edu.tw/posts/180467,02-2789-9432
交通,交通資訊,"有關中央研究院所在位置、各種交通資訊及院區導覽簡介，請參閱：https://www.sinica.edu.tw/CL/9
 
 中央研究院學術專車相關資訊，連結：https://dga.sinica.edu.tw/pages/3030
 
 中央研究院所在地址 11529 台北市南港區研究院路二段128號
 
 中央研究院景點或設施可參考院區導覽地圖https://file.apps.sinica.edu.tw/filepool/asweb/file/2023/2605xVrmDnbrVzHHAKAYtAeZ/asmap-00.pdf",生活,https://www.sinica.edu.tw/Paragraph/10,02-2789-9730
經費,捐贈規範,"中央研究院為辦理受贈收入之收支管理，特訂定中央研究院受贈收入收支管理要點。
 
 受贈收入，係指中央研究院無償收受之動產、不動產及其他一切有財產價值之權利，包含現金、有價證券、固定資產等。
 
 中央研究院接受之捐贈，一切收支均應納入中央研究院科學研究基金管理，未指定用途者，受贈收入由院本部統籌運用；有指定用途者，其用途應與中央研究院學術研究發展有關。不接受有爭議、執行困難及與學術研究無關之捐贈。
 捐贈除法令另有規定外，不得附加中央研究院相關義務負擔。
 中央研究院接受捐贈不得與捐贈者有不當利益聯結。指定用途之捐贈，如指定予中央研究院研究人員及研究技術人員個人、其主持實驗室或其進行中研究計畫等，應依中央研究院利益衝突管理要點相關規範辦理。
 
 受贈收入為現金時，應匯入中央研究院指定專戶確實交付中央研究院收受；為現金以外之動產及不動產者，中央研究院管理及使用單位應確實點交或辦妥所有權移轉登記，依財物產籍管理作業程序處理，每年實施定期盤點及不定期抽查。
 
 各所（中心）對指定用途之受贈收入應設專帳管理，受贈收入並應每半年提報院本部經費使用情形。受贈收入之現金單筆達新臺幣300萬元或累積金額達新臺幣500萬元以上時，中央研究院得視需要要求各所(中心)成立管理委員會進行管理。
 
 中央研究院應自受贈之現金收入提撥5%作為管理費用，由中央研究院統籌運用，但下列各項，得免收管理費用：
 提供學生之獎助學金。
 提供學術研究獎項之獎金。
 指定興建或修繕工程。
 其他經中央研究院核定者。
 
 受贈收入得支應之用途如下：
 指定用途受贈收入，得依其指定用途專款專用。
 講座經費。
 研究獎勵。
 出國及出席國際會議相關費用。
 舉辦研討會之相關費用。
 編制內人員法定待遇以外之給與，以及編制外人員之人事費。
 辦理自籌收入業務有績效人員之工作酬勞。
 公務車輛增購、汰換及租賃。
 興建或修繕工程。
 與受贈收入有關之項目。
 其他與中央研究院學術研究發展直接相關之項目。
 
 指定用途之受贈收入，變更用途須經原捐贈者（或代理人）同意。但原捐贈目的已達成、或捐贈用途不存在，或捐贈款項連續5年未動支者，中央研究院得變更用途轉由院本部或所（中心）統籌運用。
 
 受贈收入收支之執行、保管及運用，應依相關法令規定辦理。",學術,https://www.sinica.edu.tw/CP/290,02-2789-8047
經費,捐贈方式,"依「中央研究院受贈收入收支管理要點」規定，捐贈用途應與本院學術研究發展有關。
 
 中央研究院不得接受有爭議、執行困難及與學術研究無關之捐贈。
 
 捐贈前建議可先與欲捐贈之中央研究院相關學術單位窗口聯繫確認(可洽總機02-27822120~9)
 
 捐贈時再至以下帳戶匯入捐贈款
 銀行：台灣土地銀行南港分行
 戶名：中央研究院科學研究基金401專戶
 帳號：004056030625
 
 請填妥中央研究院捐款聲明書(https://dga.sinica.edu.tw/posts/155196)，併同匯款證明，提供給捐贈的單位窗口。",學術,https://dga.sinica.edu.tw/posts/155196,02-2789-8047
經費,財物管理,"財物之定義依行政院主計總處，所稱財物，乃財產及物品之總稱：
 
 財產定義：包括供使用土地、土地改良物、房屋建築及設備、暨金額1萬元以上且使用年限在2年以上之機械及設備、交通及運輸設備及什項設備，惟圖書館典藏之分類圖書仍依有關規定辦理。
 
 物品：係不屬於前述財產之設備、用具，包括非消耗品及消耗用品。
 
 各機關財物報廢分級核定金額依行政院主計總處「各機關財物報廢分級核定金額表」，網址如下(https://www.dgbas.gov.tw/public/Data/971516595SQKUP4R8.pdf)。
 
 財產減損，應依規定程序辦理，其方式如下：移交、撥出、報廢、損失、贈與。
 
 財產減損經奉核定後，財產管理單位應填具財產減損單，辦理財產減損之登記。
 
 財產減損後報廢之財產，不再以財產列管，其後續處理經評估後，得依下列方式處理：
 變賣：已失使用效能，而尚有殘餘價值者。
 再利用：失其固有效能，而適合別項用途者或其整件中有部分附屬設備，於拆除後可供使用者。
 轉撥：可無價轉讓他人使用者。
 交換：可與其他機關或公營事業交換使用者。
 銷毀或廢棄：毫無用途者。不動產以外之財產變賣，其變賣及估價作業，應依各機關奉准報廢財產之變賣及估價作業程序辦理。
 
 國有財產移入、移出處理程序如下，依國有財產作業要點第16點，國有不動產以外之財產，經主管機關核准撥給中央政府機關者，財產管理單位應填 製「財產撥出單」一式三份，用印後一份留存，其餘二份連同移撥財產之財產卡相關資料，送交撥入機關會同用印後，由撥入機關留存一份，據以填製財產增加單，一份退還撥出機關據以填製財產減損單，依規定程序登入帳卡，註銷產籍。",學術,https://dga.sinica.edu.tw/pages/1427,02-2789-9994
住宿,宿舍資訊,"新聘研究人員及研究技術人員得於到任5年內隨時借用新聘學人宿舍，借用期間7年。網址：https://dorm.apps.sinica.edu.tw/
 
 研究人員及研究技術人員得申請一般多房間職務宿舍及單房間職務宿舍，將於每年8-9月函文各所、中心通知各符合資格人員統一申請借用次一年度之宿舍，本院將函文通知積分排序結果，若有空出宿舍，將依序通知借用。
 特聘研究員、新聘研究員、現任所長及經院長專案核准者得隨時借用資深學人宿舍，借期6年，但擔任所長職務其任期超過6年者，以任期為準。
 各宿舍借用申請，需經由各所、中心正式發文申請，請洽各所、中心宿舍承辦人辦理。
 
 借用宿舍需支付相關費用。規定詳閱「中央研究院宿舍收費基準」。 網址：https://dga.sinica.edu.tw/posts/78696
 
 宿舍不提供家具及家電等設備，宿舍有停車場可申請付費借用、網路可向資訊服務處申請免費使用。
 
 有關退宿應辦理事項如下：
 借用人辦理退宿時請清除留置於宿舍之物品及大型廢棄物，回復宿舍原狀並騰空辦理交還。
 廚房流理檯、抽油煙機、瓦斯爐、熱水器屬中央研究院財產請保留，勿拆除或帶走。
 拆除冷氣時請將冷氣管線一併移除。
 如設籍宿舍地址，請至戶政事務所辦理戶籍遷出登記，南港區戶政事務所地址：北市南港區南港路1段360號4樓。
 歸還宿舍鑰匙時應檢具截至退宿日止之水、電、瓦斯費用(結清前請先拍下各錶的使用度數)，結清後的收據影本交由各所、中心宿舍承辦人發函辦理退宿事宜。
 
 水、電、瓦斯公司地址如下：
 A.台北自來水事業處地址：北市光復北路266號
 B.台灣電力公司地址：北市南港區南港路2段157號
 C.欣湖天然氣公司地址：北市內湖區新湖二路2段180號5樓
 
 請透過各所、中心宿舍承辦人了解各棟宿舍的地理位置及交通方式。",生活,https://dorm.apps.sinica.edu.tw/,"02-2789-8068
 02-2789-8705"
通訊,行動電話通信費補助,"中央研究院補助員工行動電話通信費，應依照「行政院及所屬各機關行動電話通信費處理原則」及「中央研究院行動電話通信費處理原則補充規定」辦理。
 
 中央研究院院長及副院長之宿舍電話通信費由中央研究院支應；職務及單身宿舍之電話通信費由借用人自行負擔。
 
 中央研究院各單位人員之住宅家用電話通信費，自行負擔。
 
 中央研究院負擔行動電話通信費之對象，包括院長、副院長；學術諮詢總會執行秘書、副執行秘書；研究所所長、副所長；研究所籌備處主任、副主任；研究中心主任、副主任；秘書長、副秘書長、各處、室、中心單位主管；院長、副院長及秘書長之專屬駕駛。
 
 因特殊業務之承辦人，得專案簽請院長或其授權人員核定後比照之。
 
 中央研究院負擔行動電話通話費之限額：
 院長、副院長及院本部秘書長全額補助。
 學術諮詢總會執行秘書、副執行秘書；研究所所長、副所長；研究所籌備處主任、副主任；研究中心主任、副主任；副秘書長、各處、室、中心單位主管等，每月補助新臺幣1000元。
 院長、副院長及秘書長之專屬駕駛每月補助新臺幣500元。
 如因業務特殊得專案簽請院長或其授權人員核定後補助之。
 
 業務特殊需申請電話通信費請提交中央研究院補助行動電話通信費申請表，表單內容請參考以下網址 (https://dga.sinica.edu.tw/posts/78974)
 
 以上所有由中央研究院負擔行動電話通信費之門號，應以中央研究院名義登記。
 
 中央研究院行動電話通信費處理原則補充規定詳細內容請參考以下網址 (https://dga.sinica.edu.tw/posts/78724)",生活,https://dga.sinica.edu.tw/posts/78974,02-2789-9977
館場,幼兒園,中央研究院附設臺北市私立幼兒園共設有小班、中班、大班及混齡班共4班，每班30名幼兒，每年4月下旬公告招收小班及混齡班新生，招收對象為滿3-6歲之幼兒，以學籍年齡（以臺北市教育局公佈每學期入學年齡為準）換算足歲幼兒入學。網址：https://kindergarten.sinica.edu.tw/,生活,https://kindergarten.sinica.edu.tw/,02-2787-1451
館場,托嬰中心,托嬰中心委託協會營運管理，招收對象為滿2足月至未滿2足歲之幼兒35名，提供本院同仁托嬰需求。電話：02-2790-8009,生活,https://dga.sinica.edu.tw/posts/142031,02-2790-8009
