category,title,context,group,url,contact
兼職,兼職管制態樣(一)禁止類,"中研院研究人員及研究技術人員，除法令另有規定外，不得兼任他項公職。所稱公職係指各級民意代表、中央與地方機關之公務員及其他依法令從事於公務者。
 
 中研院研究人員及研究技術人員，除法令另有規定外，不得兼任領證職業及其他反覆從事同種類行為之業務，所稱領證職業係指有專屬管理法規，領有執照或證書始能執行業務，並受目的事業主管機關監督之職務。但有下列情事，且未影響本職工作者，不在此限：
 (一)於工作時間以外，從事社會公益性質之活動或其他非經常性、持續性之工作。
 (二)經中研院依程序審查認定屬教學或研究工作範疇。
 
 中研院研究人員及研究技術人員，除兼任學術期刊、叢書及教育部訂定之課程綱要編輯教科用書出版組織，未涉有經營業務之職務外，不得兼任其他營利事業職務。但擔任特定營利事業職務經中研院事先核准者，不在此限。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(二)特別許可類,"中研院研究人員及研究技術人員經中研院事先核准得擔任下列營利事業職務：
 (一)經公股股權管理機關(構)指派代表公股或遴薦兼任政府直接或間接投資事業之董事、監察人或相類似職務。
 (二)主要研發技術提供者擔任與中研院訂有科技移轉契約之新創公司董事，且兼任期間須在契約有效期限內。
 (三)主要研發技術提供者運用中研院研發成果參與創辦新事業而擔任發起人。但兼任中研院行政職務之研究人員及研究技術人員不得擔任之。
 (四)與中研院訂有產研合作契約之國營事業、已上市(櫃)公司、金融控股公司百分之百持有之銀行、票券、保險及綜合證券商等子公司、經董事會或股東會決議規劃申請上市(櫃)之未上市(櫃)公開發行公司等之獨立董事。但兼任中研院行政職務之研究人員及研究技術人員不得擔任之。
 (五)為科學研究業務需要擔任與中研院訂有契約之營利事業非執行經營業務之職務，且兼任期間須在契約有效期限內。但非與中研院簽訂科技移轉或資助研究契約者，同一營利事業兼任期間以1年為限，得延長1年。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(二)特別許可類-解任登記,中研院研究人員及研究技術人員到職前擔任營利事業職務須辦理解任登記者，至遲應於到職時提出書面辭職，於3個月內完成解任登記，並向中研院繳交有關證明文件。但有特殊情形未能依限完成解任登記，並經中研院同意者，得延長之；其延長期間，以3個月為限，惟於完成解任登記前，不得參與經營及支領報酬。,人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(二)特別許可類-辦理程序,"中研院研究人員及研究技術人員，兼任經中研院特別許可之公股代表或政府直接或間接投資事業之董事、監察人等職務者，應由公股股權管理機關(構)來函，經所屬研究所(處)、研究中心主管同意及中研院核准。
 
 中研院研究人員及研究技術人員，兼任經中研院特別許可之新創公司董事及營利事業非執行經營業務之職務者，應由兼職之新創公司或營利事業來函；兼職人員須填列「中央研究院人員因應科技移轉與科學研究需要兼職許可書」併同相關表件，由所屬研究所(處)務會議或研究中心業務會議審查通過後，移送中研院利益衝突管理委員會審議，並經中研院核准。
 
 中研院研究人員及研究技術人員，兼任經中研院特別許可之創辦新事業之發起人者，應由兼職人員填列許可書，向所屬研究所(處)、研究中心提出申請，並依前款程序辦理。
 
 中研院研究人員及研究技術人員，兼任經中研院特別許可之營利事業獨立董事者，依下列規定辦理：
 (一)兼職人員於應邀提名選任時，應經所屬研究所(處)、研究中心主管同意及中研院核准。
 (二)經選任為獨立董事職務時，應請該營利事業於股東會後首次董事會作成自兼職人員經選任為獨立董事之日起3個月內，與中研院完成簽訂產研合作契約並同意繳交學術回饋金，溯自選任之日起生效之決議，並函知中研院。
 (三)兼任獨立董事程序符合前目規定者，自經選任之日起3個月內視為合法兼職；兼職之營利事業於股東會後首次董事會無法作成前目決議時，中研院應自始否准該項兼職。屆期未完成簽訂產研合作契約及同意繳交學術回饋金，該項兼職同意函自3個月期間屆滿之次日起不生效力。
 (四)兼任獨立董事所衍生之相關職務應提出申請，經所屬研究所(處)、研究中心主管同意及中研院核准。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(二)特別許可類-利益迴避、利益揭露,"中研院研究人員及研究技術人員，兼任公股代表或政府直接或間接投資事業之董事、監察人或相類似職務期間，應依公職人員利益衝突迴避法規定利益迴避。
 
 中研院研究人員及研究技術人員兼任與中研院訂有科技移轉或資助研究契約之新創公司董事或營利事業非執行經營業務之職務，應揭露與兼任新創公司或營利事業間有無下列利益關係；約定於兼職後取得者亦同：
 (一)本人及其配偶、未成年子女前1年內自該營利事業獲得合計超過新臺幣15萬元之財產上利益，或持有該營利事業之股權。但持有上市(櫃)公司未達百分之5之股權者，不在此限。
 (二)本人及其配偶、子女、父母、祖父母、孫子女或兄弟姊妹擔任該營利事業負責人、董事、監察人或經理人之職務。
 (三)財產之受託人或代理人為本人或其配偶、未成年子女之利益，獲得或持有第1款利益或股權者，視為本人或其配偶、未成年子女之財產上利益或持有之股權。
 
 中研院研究人員及研究技術人員兼任創辦新事業之發起人職務，應揭露與創辦新事業間之潛在利益關係，其揭露事項由中研院另定之。
 
 兼職人員依前2項規定揭露利益關係後，經利管會審議認定有利益衝突之情事且無法採取利益迴避管理措施者，不得兼職；於兼職期間及終止後2年內，應迴避與原兼職之新創公司、營利事業及其關係企業間有關採購或計畫審查之業務。但其迴避反不利於公平競爭或公共利益時，得報院同意後免除之。
 
 各單位知有應自行迴避而未迴避情事者，應要求該研究人員及研究技術人員迴避。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(二)特別許可類-學術回饋金,"中研院研究人員及研究技術人員依中研院規定兼任新創公司董事、公營事業以外之營利事業獨立董事及營利事業非執行經營業務之職務，兼職之新創公司或營利事業應一次全額支付學術回饋金至中研院指定之帳戶。
 
 學術回饋金計算及支付期限如下：
 (一)兼任新創公司董事或營利事業非執行經營業務之職務，按兼職人員領受之兼職費百分之15計算。兼職之新創公司或營利事業應於收受中研院兼職核准通知後2個月內支付。
 (二)兼任營利事業獨立董事，按兼職人員領受之兼職費百分之20計算。兼職之營利事業應於完成簽訂產研合作契約後2個月內支付。
 
 學術回饋金由中研院收取後全數繳入中研院科學研究基金。
 
 新創公司或營利事業未依規定繳交學術回饋金者，中研院應廢止該項兼職並依法追償。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(三)一般許可類,"中研院研究人員及研究技術人員，其兼職不得影響本職工作，其兼職之申請除另有規定外，應經所屬研究所(處)、研究中心主管同意及中研院核准，於期滿續兼或兼任職務異動時，應重行報院核准。
 
 中研院研究人員及研究技術人員在未利用本職工作或中研院其他資源之前提下，而參與院外資助之研究計畫，應依規定辦理兼職報院核准，如係利用本院資源參與院外資助研究之計畫，係依中研院接受資助研究計畫作業要點規定辦理。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(四)報備類,"中研院研究人員兼職屬下列情形之一，且無不予核准，或於兼職期間廢止其核准，或應命其停止兼職等情形者，免申請同意及核准，但應依規定辦理兼職揭露：
 (一)未兼任行政職務之研究人員，兼任非以營利為目的之事業或團體職務，且未受有兼職費。但至私立學校兼任教研職務，應依規定經主管同意及中研院核准。
 (二)未兼任行政職務之研究人員，兼任學術期刊、叢書及教育部訂定之課程綱要編輯教科用書出版組織，未涉有經營業務之職務，且未受有兼職費。
 (三)兼任行政職務之研究人員，兼任前2款職務，且未受有兼職費、出席費或審查費。
 (四)於工作時間以外，從事社會公益性質之活動或其他非經常性、持續性之工作規定，從事社會公益性質之活動或其他非經常性、持續性之工作。
 (五)其他經中研院公告之情形。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,兼職管制態樣(五)免除管制類,"中研院研究人員及研究技術人員，其兼職屬下列情形之一，且無不予核准，或於兼職期間廢止其核准，或應命其停止兼職等情形者，免申請同意及核准，並免依規定辦理兼職揭露：
 (一)研究人員兼任政府機關(構)、公立學校、行政法人之任務編組職務或臨時性需要所設置之職務。
 (二)研究人員及研究技術人員於工作時間以外，依個人才藝表現，獲取適當報酬，並就其財產之處分、智慧財產權及肖像權之授權行使，獲取合理對價。
 (三)其他經中研院公告之情形。",人事,https://www.sinica.edu.tw/cp/433,中研院人事室
兼職,定義規範之兼職事項,中研院為規範研究人員及研究技術人員於中研院以外之兼職事項，特訂定中央研究院研究人員及研究技術人員兼職處理原則。,人事,https://www.sinica.edu.tw/cp/433,中研院人事室
