category,title,context,group,url,contact
院士事務,關於院士,中央研究院院士為終身名譽職，屬名譽榮銜。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科
院士事務,關於院士,中央研究院院士職權包括：1、選舉院士及名譽院士；2、選舉評議員；3、籌議國家學術研究方針；4、受政府及有關單位之委託，辦理學術設計、調查、審查及研究事項。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科
院士事務,關於院士,中央研究院院士目前除部分(17位)在中研院任職外，大多數院士是在國內外知名學研機構工作。(迄民國113年(2024年)8月12日之統計)。,,,秘書處議事科
院士事務,關於院士,央研究院院士共分為4個學組，包括數理科學組、工程科學組、生命科學組、人文及社會科學組。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科
院士事務,院士選舉,中央研究院院士每2年選舉1次，依下列資格之一，由院士會議就全國學術界成績卓著人士選舉之：1、對於專習之學術，有特殊著作、發明或貢獻者。2、對於專習學術之機關領導或主持5年以上，成績卓著者。,,https://www.sinica.edu.tw/CP/418,秘書處議事科
院士事務,院士選舉,中研院院士候選人由現任院士連署提名，或大學、研究機關提名。提名中研院院士候選人時，須依各屆院士候選人提名表格式填寫，並檢附有關之著作及其他文件。,,https://www.sinica.edu.tw/CP/259,秘書處議事科
院士事務,院士選舉,中研院院士會議除辦理院士選舉外，另安排頒發院士證章、院長院務報告、主題演講、專題討論、綜合議案討論，以及重要議題討論。,,,秘書處議事科
院士事務,院士會議,中研院院士會議2年舉行1次。,,https://www.sinica.edu.tw/Tab/6/2,秘書處議事科
院士事務,院士會議,中央研究院係於民國37年(1948年)3月選出第1屆院士，並於同年9月在南京舉行第1次院士會議。嗣後因戰亂，本院遷至臺灣，於民國46年(1957年)在臺北舉行第2次院士會議，當時並未舉行院士選舉。民國47年(1958年)第3次院士會議時方選出第2屆院士。次年(民國48年，1959年)第4次院士會議選出第3屆院士，民國51年(1962年)第5次院士會議選出第4屆院士。因此院士會議的次別與院士屆別相差1屆。,,https://www.sinica.edu.tw/Tab/6/2,秘書處議事科
院士事務,院士統計,自第2屆院士選舉後，中研院新科院士當選人數最多的一屆是第34屆(民國113年(2024年))，共28人。最少的一屆是第5屆(民國53年(1964年))，共6人。,,,秘書處議事科
院士事務,院士統計,中央研究院院士現有297人，其中數理科學組71人、工程科學組66人、生命科學組99人、人文及社會科學組61人(國內100人、國外181人、大陸及港澳地區16人)(迄民國114年(2025年)1月23日之統計)。,,https://www.sinica.edu.tw/Tab/6,秘書處議事科
院士事務,院士統計,目前中研院院士中，當選年齡最年輕的院士是第2屆數理組李政道院士32歲；當選年齡最年長的院士是第34屆人文組王澤鑑院士86歲。,,,秘書處議事科
院士事務,院士統計,中研院全體院士平均年齡76.4歲；數理科學組75.3歲、工程科學組78.6歲、生命科學組75.6歲、人文及社會科學組75.9歲。男性共256人(85.9%)、女性共42人(14.1%)。,,,秘書處議事科
院士事務,國內院士季會,中研院國內院士於民國88年(1999年)7月5日首度群聚一堂，決定每年將舉辦4次(現為1年3次)之中研院「國內院士季會」，多加聯繫聚集研討，形成學術社群，為提升台灣學術水準及國家發展提出建言並有所貢獻。除了進行「院士座談會」外，另邀請頂尖學者、聲譽卓著之人士作專題演講。,,https://www.sinica.edu.tw/Tab/6/3,秘書處議事科
院士事務,國內院士季會,中研院國內院士季會原訂1年4次(1月、4月、7月、10月)的定期聚會，鑑於7、8月份院士們各項學術活動較為頻繁，民國89年(2000年)11月13日召開的國內院士季會召集委員會議決議，民國90年(2001年)起國內院士季會更改為1年3次(1月、5月、9月)。,,https://www.sinica.edu.tw/Tab/6/3,秘書處議事科
院級會議,評議會,中央研究院評議會的成員組成包括聘任評議員和當然評議員。,,https://www.sinica.edu.tw/Tab/7/1,秘書處議事科
院級會議,評議會,中央研究院評議員的總數是82位(截至民國114年(2025年)1月10日)。,,https://www.sinica.edu.tw/Tab/7/1,秘書處議事科
院級會議,評議會,中央研究院的當然評議員包括：院長、副院長、研究所所長和研究中心主任。,,https://www.sinica.edu.tw/Tab/7,秘書處議事科
院級會議,評議會,中央研究院聘任評議員須經由3位院士聯署提名，經院士選舉當選後呈請總統聘任。,,https://www.sinica.edu.tw/CP/264,秘書處議事科
院級會議,評議會,中央研究院評議會的會議通常於每年的4月和10月召開。每年評議會會議召開時間可於下列網址查詢：https://www.sinica.edu.tw/Timeline/57,,https://www.sinica.edu.tw/Timeline/57?Datas_Query.eventCID=4&Datas_Query.instCode=02&Datas_Query.keyword=%E8%A9%95%E8%AD%B0%E6%9C%83&Datas_Query.NowYearMonth=2024-10-01&Datas_Query.division=,秘書處議事科
院級會議,院務會議,中研院院務會議由院長、副院長、研究所所長、研究所籌備處主任、研究中心主任、學術諮詢總會執行秘書、院本部秘書長及本院21位研究人員代表(分為數理科學組、生命科學組、人文及社會科學組3組，每組7人，任期2年，連選得連任1次)組成。,,https://www.sinica.edu.tw/Tab/8,秘書處議事科
院級會議,院務會議,中研院院務會議研究人員代表由本院各研究所、研究所籌備處、研究中心自行經民主程序推舉候選人一名，研究人員亦得自由報名成為該組選任代表候選人。經該組全體研究人員以限制連記法投票方式(連記二人)選舉產生。得票較多者當選；票數相同者，以抽籤方式決定。各組研究人員代表選足名額後，其他得票之候選人，按票數多寡依次為候補人；研究人員代表出缺時，由同組候補人依次遞補。,,https://www.sinica.edu.tw/CP/419,秘書處議事科
