category,title,context,group,url,contact
IRB計畫申請案,我的研究計畫是否需通過中央研究院IRB(醫學研究倫理委員會、人文社會科學研究倫理委員會)審查?,"中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。 

您需要確認您的研究計畫是否涉及人體研究或人類研究。

**若您的研究涉及人體研究，無論檢體/資料來源、檢體/資料取得時間(不論是否為既存檢體/資料) 或經費來源，您的計畫書都需經中央研究院醫學研究倫理委員會審核通過，才能進行。**

**若您的研究涉及人類研究，無論資料來源、資料取得時間(不論是否為既存資料) 或經費來源，您的計畫書都需經中央研究院人文社會科學研究倫理委員會審核通過，才能進行。** 

請您仔細閱讀中央研究院醫學研究倫理委員會和人文社會科學研究倫理委員會的相關規定，並確認您的研究是否需要送審。 

如果您有任何疑問，請您直接聯絡中央研究院醫學研究倫理委員會或人文社會科學研究倫理委員會，他們會提供您更詳細的資訊。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,我的人體研究/人類研究計畫為整合型計畫，該如何送審?,"中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。 

您的人體研究/人類研究計畫為整合型計畫，送審時需要根據以下幾種情況進行：

**1. 您是整合型計畫的總主持人：**

* 若您是整合型計畫的總主持人，**需將完整計畫涉及人體研究/人類研究的內容送審**，因為您需要擔負全計畫的責任。

**2. 整合型計畫的總主持人不是中研院人員，您是其中一個分支計畫主持人：**

* 若整合型計畫的總主持人不是中研院人員，**您只需將您所負責的分支計畫涉及人體研究/人類研究的內容送審。**
* 計畫名稱建議包含總計畫名稱及分支計畫(子計畫)名稱。

**3. 整合型計畫有多位中研院分支計畫主持人：**

* **分支計畫間有人體研究/人類研究材料共享使用：**請推舉一位申請人，整合相關分支計畫(子計畫)送審。
* **分支計畫間完全獨立執行：**可就個別分支計畫(子計畫)涉及人體研究/人類研究的內容提出申請。
* 計畫名稱建議包含總計畫名稱及分支計畫(子計畫)名稱。

**建議您在送審前，先與中研院 IRB 聯繫，確認您的整合型計畫應如何送審，以及相關的細節。**

希望這些資訊能幫助您！",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,中央研究院與其他機構合作之人體研究計畫或人類研究計畫，是否須送中央研究院IRB?,中央研究院研究人員執行人體研究或人類研究計畫，不論研究材料或經費來源  ，均須經中央研究院IRB審查通過或報備裁決免審後，始可進行。若與其他機構合作，須經中央研究院IRB及合作機構相關委員會之同意；若合作機構無相關委員會，得以合作機構之授權同意中央研究院IRB全權審核。,學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,中央研究院IRB是否受理外部計畫審查申請?,中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。IRB研究計畫倫理審查申請人以計畫主持人為原則。,學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,中央研究院研究人員非計畫主持人之IRB申請相關事項：,"中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。 

如果您是中研院研究人員，但非計畫主持人需申請IRB審查，請您注意以下事項：

1. **以中研院研究人員為中央研究院 IRB 審查申請人：** 
   * 您作為非計畫主持人，需在申請資料中註明您的身份（例如：共同主持人或協同主持人）。

2. **將計畫主持人列為具編輯權限聯絡人：**
   * 確保計畫主持人能夠及時收到審查的相關通知和提醒。

3. **確認您的身份資訊正確：**
   * 確保您在申請資料中的職稱、單位等資訊正確無誤。

4. **與計畫主持人保持密切聯繫：**
   * 確保您能及時了解審查進度，並配合相關流程。

5. **如有任何疑問，請洽詢相關單位：**
   *  您可以向中研院學術處IRB尋求協助。

希望這些資訊對您有所幫助！",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,我的研究計畫在多久以前需送審，審核時間為期多久?,"中央研究院研究人員執行人體研究或人類研究計畫，不論研究材料或經費來源，均須經中央研究院IRB審查通過或報備裁決免審後，始可進行。

人體研究或人類研究計畫如需招募研究對象，應使用經IRB審核通過的招募文件進行招募。

如您的研究計畫需提供IRB審查證明，請儘早向IRB提出申請。
IRB將依不同的風險程度進行免審、簡審或一般審查流程。
如您的申請案為免審案或簡審案，約於3週內會收到初審意見或審核結果；若為一般審查案則需入會討論，中央研究院IRB會定期開會，會議日期可於IRB委員會網頁查詢，您可以在會後2週內收到會議審查意見或決議。

建議您在研究資料備齊隨時送審，若您自評為一般審查案件，至遲應於會議前三周將文件備齊。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,我的研究計畫是否屬於簡易審查/微小風險審查或免審案件?,"中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。 

您需要先確認您的研究計畫是屬於「人體研究」還是「人類研究」。

* **人體研究**：指的是涉及人體的生物醫學研究，例如臨床試驗、生物檢體收集、基因分析等。 
* **人類研究**：指的是涉及人類行為、社會文化、心理層面的研究，例如問卷調查、訪談、觀察等。

確認您的研究類型後，請參考以下資訊：

* **人體研究**：請參閱中央研究院醫學研究倫理委員會「免審及簡易審查範圍評檢表」。
* **人類研究**：請參閱中央研究院人文社會科學研究倫理委員會「免審及微小風險審查自評表」。

這些表格可以幫助您初步判斷您的研究是否屬於簡易審查/微小風險審查或免審案件。 

**建議您仔細閱讀表格內容，並根據您的研究計畫內容進行評估。** 

如果您對於研究計畫是否屬於簡易審查/微小風險審查或免審案件仍有疑問，請聯繫中央研究院醫學研究倫理委員會或人文社會科學研究倫理委員會，他們會提供更詳細的資訊和協助。

**聯絡方式：**
* **IRB專線：** 886-2-27898722
* **林瑞燕：** 02-27899374 (研究對象保護、實地訪查、異常事件)
* **林郁婷：** 02-27898703 (人文組申請案)
* **廖靖君：** 02-27898021 (生命組申請案)
* **賴穎慧：** 02-27872543 (數理組申請案)",學術,https://bm.irb.sinica.edu.tw/posts/140745,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,IRB審核內容?,"IRB審查內容如下：
  
 計畫名稱、主持人及研究機構。
 計畫摘要、研究對象及實施方法。
 計畫預定進度。
 研究對象權益之保障、同意之方式及內容。
 研究人力及相關設備需求。
 研究經費需求及其來源。
 預期成果及主要效益。
 研發成果之歸屬及運用。
 研究人員利益衝突事項之揭露。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,IRB審查申請所需相關教育訓練時數規定?,"中央研究院醫學研究倫理委員會（IRB）及人文社會科學研究倫理委員會的相關教育訓練時數規定如下：

**醫學研究倫理委員會**

* **人體研究計畫：**  最近3年內至少完成4小時研究倫理相關教育訓練，其中包含1小時COI（利益衝突）相關教育訓練。
* **人體試驗計畫：** 最近三年內至少4小時研究倫理相關教育訓練，其中包含1小時COI（利益衝突）相關教育訓練。此外依不同身分亦須符合：
    * 主持人及共同主持人：需最近六年曾受人體試驗相關訓練30小時以上，其中包含至少9小時醫學倫理相關課程。
    * 協同主持人：需最近六年曾受醫學倫理相關訓練9小時以上。
    * 其他研究計畫人員：最近3年內至少完成4小時研究倫理相關教育訓練，其中包含1小時COI（利益衝突）相關教育訓練。
* **醫療器材臨床試驗計畫：** 
    * 主持人及共同主持人：需最近六年曾受臨床試驗相關訓練30小時以上，其中包含至少9小時醫療器材臨床試驗相關課程及9小時醫學倫理相關課程。
    * 協同主持人：需最近六年曾受醫學倫理相關訓練9小時以上。
    * 其他研究計畫人員：最近3年內至少完成4小時研究倫理相關教育訓練，其中包含1小時COI（利益衝突）相關教育訓練。

**人文社會科學研究倫理委員會**

*  最近3年內至少完成1小時研究倫理相關教育訓練。

**注意事項：**

* 上述時數規定僅為最低標準，各單位可以依實際需求制定更嚴格的訓練要求。
* 研究人員應積極參與相關教育訓練，以確保研究符合倫理規範。

希望以上資訊對您有幫助！",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,說明同意書須包含之內容有哪些?,"研究對象說明同意書須包含以下內容：

1. **研究機構名稱及經費來源：** 說明進行研究的機構名稱以及研究經費的來源。
2. **研究目的及方法：** 詳細說明研究的目的和研究方法，讓研究對象了解研究的內容和步驟。
3. **研究主持人之姓名、職稱及職責：** 提供研究主持人的姓名、職稱和職責，讓研究對象可以清楚了解誰是負責人。
4. **研究計畫聯絡人姓名及聯絡方式：** 提供研究計畫的聯絡人姓名和聯絡方式，讓研究對象可以在需要的時候聯絡到相關人員。
5. **研究對象之權益及個人資料保護機制：** 說明研究對象的權益，例如知情同意權、拒絕參與權、撤回同意權等，以及如何保護研究對象的個人資料。
6. **研究對象得隨時撤回同意之權利及撤回之方式：** 說明研究對象可以隨時撤回同意參與研究的權利，並說明撤回同意的方式。
7. **可預見之風險及造成損害時之救濟措施：** 說明研究可能帶來的風險，以及如果造成損害時，研究對象可以獲得哪些救濟措施。
8. **研究材料之保存期限及運用規劃：** 說明研究材料（例如檢體、資料、衍生物等）的保存期限和用途，以及如何處理這些材料。
9. **研究可能衍生之商業利益及其應用之約定：** 說明研究可能衍生的商業利益，以及如何分配這些利益。

請注意，這只是一般的範例，實際上說明同意書的內容會根據研究的具體情況有所不同。建議您參考中央研究院醫學研究倫理委員會或人文社會科學研究倫理委員會提供的範本，並依據您的研究需求進行調整。

希望這個回答能幫助您！",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,若於合作機構收案，如何準備研究對象說明同意書?,"中央研究院IRB僅服務中央研究院研究人員之人體研究或人類研究倫理審查，由中央研究院編制內研究人員或研究技術人員為申請人。 

如果您在合作機構收案，需要準備研究對象說明同意書，以下是一些建議：

1. **提供將於現場收案使用之研究對象說明同意書送審。** 
2. **若收案機構有限定使用之說明同意書格式，請依該格式設計研究對象說明同意書送中央研究院IRB審查。**
3. **若收案機構未限定格式，可參考中央研究院研究對象說明同意書格式規劃使用。**
4. **若與多家機構合作，而合作機構需使用不同格式時，請提供各合作機構將使用之研究對象說明同意書送審。**

**以下是一些需要特別注意的細節：**

* **研究對象說明同意書的內容必須包含所有必要的資訊**，例如研究目的、方法、風險、利益、權益、資料保存期限等。
* **必須確保研究對象說明同意書的語言是研究對象可以理解的。** 如果研究對象使用其他語言，請提供翻譯版本。
* **請諮詢中央研究院IRB或合作機構的IRB，了解他們對研究對象說明同意書的特定要求。**

希望以上資訊對您有所幫助。如果您還有其他問題，歡迎提出。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,若研究對象說明同意書經中央研究院及合作機構IRB審查後，內容不同，該如何處理?,若非同時送審，發生先通過之研究對象說明同意書，於後審查時有修改，則將後通過之版本，送先通過之IRB進行修正申請。例如，若合作機構IRB先審查通過後，才送中央研究院IRB，而中央研究院IRB發現有關研究對象權益或中央研究院執行必要內容而須修正時，請於中央研究院IRB審查通過後，於合作機構提出修正申請。反之，若中央研究院IRB先審查通過，而合作機構IRB審查有修正時，請將合作機構IRB審查通過之研究對象說明同意書，於中央研究院IRB提出修正申請，以使雙邊機構核可版本一致。,學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,使用合作機構研究對象說明同意書，常發生須修正之內容有哪些?,"使用合作機構研究對象說明同意書，目前常發生須修正之內容有：
  
 未明確揭露研究材料保存期限。
 未將中央研究院研究人員列入計畫團隊，或未說明研究材料(檢體、資料、衍生物)將送至中央研究院研究使用。
 計畫名稱不同。
 未包含中央研究院之執行之內容。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,研究對象說明同意書若有表示研究材料將於研究結束後之保留時間(例如10年)，是否明確?,若研究對象說明同意書有研究計畫執行期限資訊，則資訊充足。若無計畫執行期限，則不知何時起算保留時間，建議明確說明，例如加上計畫執行期限資訊，或直接表明研究材料將保存至何年何月何日之資訊。,學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,研究材料是否可永久保存?,"研究材料的保存期限由計畫主持人規劃，可以選擇由機構或個人永久保存。相關文件須經IRB審查通過並依通過內容執行。

若選擇個人永久保存，請於計畫書及研究對象說明同意書中說明保存人退休或離職後之研究材料處置規劃。 

若您還有其他問題，歡迎提出。",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
IRB計畫申請案,中央研究院是否限定合作機構研究對象說明同意書中有關中央研究院研究人員會取得並使用研究材料之方式?,"只要有適當之內容均可，中央研究院未限定方式。常見方式有：
  
 在研究對象說明同意書首頁之計畫成員名單中，列入中央研究院研究人員資訊
 在研究對象說明同意書內容說明「 研究材料XXX將送至中央研究院OO研究所/研究中心OOO研究員執行XXX分析」",學術,https://irb.sinica.edu.tw/posts/148319,"IRB專線 886-2-27898722
 林瑞燕 02-27899374(研究對象保護、實地訪查、異常事件)
 林郁婷 02-27898703(人文組申請案)
 廖靖君 02-27898021(生命組申請案)
 賴穎慧 02-27872543(數理組申請案)"
