category,title,context,group,url,contact
獎助學金,TIGP-X Pilot Program,"中央研究院與國外大學合作培育國際博士生計畫試行要點(英文簡稱為TIGP-X Pilot Program)是中央研究院基於促進國際學術合作之精神並延攬國際學生，鼓?中研院研究人員與國外學研機構合作，並獎助TIGP-X國際博士生於進行論文研究階段至中研院從事研究，以充實博士研究生之人才庫，特別訂定之。

TIGP-X Pilot Program申請人只限任職於中研院各研究所、中心之助研究員(含）以上之研究人員可向中研院提交申請。為推動本院研究人員對TIGP-X計畫之?解並提升申請意願，本院於試辦期（112?10月至113 ?9月）採「隨到隨審」之申請與審查方式，?受每??3次審查時程、所、中心進?初審，申請人也不受同一年度獲本院核定補助1名博士生之限制。入院研究至少3個月，最多以3年為限。

符合申請資格的中研院研究人員應檢具以下文件:

(1)本院 PI 之論述 (請說明由 TIGP-X 所支持之國際合作對學生之好處，以一頁為限)
(2)學生之研究計畫書 (內容包括博士論文的簡要概述、在臺灣進行研究之目的及預期結果，以兩頁為限)
(3)學生 CV (內容需包含 250 字以內的學生個人論述，以兩頁為限)
(4)學生註冊學校之論文指導教授 CV (以兩頁為限)
(5)國外合作單位共同指導教授推薦函
(6)學生就讀學校 (校、院、或系所主管) 同意該生出國從事研究之信函

審查重點為合作學研單位之學術競爭力、合作計畫之前瞻性及未來影響力等。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"為推動本院研究人員對TIGP-X計畫之?解並提升申請意願，本院於試辦期（112?10月至113 ?9月）採「隨到隨審」之申請與審查方式，?受每??3次審查時程、所、中心進?初審，申請人也不受同一年度獲本院核定補助1名博士生之限制。入院研究至少3個月，最多以3年為限。

獲選成為TIGP-X博士生如遇特殊情況，無法依原訂時間來臺，需重新提交申請件審查。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"TIGP-X Pilot Program獎助內容有2種，第1種是「TIGP-X中研院獎學金國際博士生」，在中研院期間由中研院與中研院研究人員分別支付每月新臺幣34,000元及16,000元之獎學金為原則，如有特殊情形，得於申請時提出供審查之參考。第2種是「TIGP-X中研院國際博士生」，在中研院期間之獎學金由中研院研究人員自行支應，其支應金額應遵循「中央研究院獎助學金支給要點」相關規範。在此試行要點(TIGP-X)獲選之博士生皆通稱為TIGP-X博士生。獎學金須扣稅。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"獲選成為TIGP-X博士生皆可獲得由中研院支付往返臺灣一次之經濟艙機票款，以一次為原則。中研院也會安排第一年入住TIGP宿舍，費用由TIGP-X博士生自行支應，第2年起，需由中研院研究人員協助租屋。惟因錄取名額須搭配TIGP宿舍空房之安排，目前無法確切明訂錄取之名額數。

申請人提交之申請件如被中研院核定給予補助，該申請人將會是TIGP-X博士生在中研院研究期間之共同指導老師。該中研院研究人員可向中研院申請因公出國，由中研院支付往返臺灣一次之經濟艙機票款，並依「國外出差旅費報支要點」支應生活費及辦公費(手續費、保險費)。其機票款僅能用於參加獲選TIGP-X博士生論文辯答(Thesis Defense)，或於執行期間參訪TIGP-X博士生所屬之學校並與其指導教授洽談學術合作事宜。

獲選成為TIGP-X博士生之後，在中研院進行研究期間仍可繼續支領自己學研機構之獎學金。如係接受我國政府機構額外提供之獎學金，則須遵循「中央研究院獎助學金支給要點」相關規範。

獲選成為TIGP-X博士生需先行代墊支付機票款，來臺後將依中研院核銷程序進行核銷，再歸墊於TIGP-X博士生郵局帳戶之中。其簽證、交通等費用皆由學生自行支付，中研院不予以補助。惟中研院會發函給獲選成為TIGP-X博士生所在地之外館，請外館協助辦理簽證相關事宜，以及提供國內機場至TIGP宿舍之交通參考資訊。

TIGP-X博士生在中研院進行論文研究時，其就讀海外學校之學費應仍由學生個人負責。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"獲選成為「TIGP-X中研院獎學金國際博士生」在本院執行論文研究期間，每年應撰寫研究進度報告，經雙邊指導老師核可後，提交國際處送請學術諮詢總會進行審查，始得核發下一年度之獎學金。並且於TIGP-X合作研究計畫完成返回學籍所在地前二周內提出在中研院期間之完整書面研究報告，函送國際處備查。

獲選成為「TIGP-X中研院國際博士生」需於TIGP-X合作研究計畫完成返回學籍所在地前二周內提出在中研院期間之完整書面研究報告，函送國際處備查。

獲選成為TIGP-X博士生之後，在中研院期間之研究工作指導考核由申請人負責。在中研院期間TIGP-X博士生因個人理由需離境超過2星期者，將依離境日數停發獎學金。如一開始請假為2星期，但離境後才發現因個人因素需再延後回臺，因而時間超過2星期者，亦即上述情況該生自離境日起即停發獎學金，而非離境兩星期後始停發。待學生回台後，再補發給學生。

獲選成為TIGP-X博士生在中研院研究期間研究成果若涉及智慧財產權時，依「中央研究院科學技術研究發展成果歸屬及運用辦法」處理。

獲選成為TIGP-X博士生在中研院研究期間如涉有違反學術倫理之情事者，依「中央研究院各級倫理委員會設置及作業要點」處理。
",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"中研院研究人員在洽談國外學研機構合作對象以進行TIGP-X Pilot Program之研究合作時，其對象不限於已有簽署MOU之機構。惟若學生所屬系所提出因應TIGP-X計畫而衍生MOU之必要性，也可由中研院研究人員所屬之所、中心具名簽署。 

TIGP-X Pilot Program適用於中研院三大學術領域。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"TIGP-X博士生之國籍不分本國籍或外國籍，國外大學就讀博士班之臺灣籍學生也符合資格。惟港澳生每半年需出境一次，因此無法於在臺期間納入健保制度，其權益較其他外籍學生短缺，也易觸及政治敏感議題，屆時會視個案進行審查。而陸籍學生目前仍待「大陸地區人民進入臺灣地區許可辦法」放寬修正後才適用本要點。

TIGP-X Pilot Program雖適用於任何國外大學，惟大陸、港、澳學校受限於兩岸敏感之政治情勢，中研院並不鼓勵，惟如能確保申請案有助於雙方積極推動合作研究，屆時仍可視個案進行審查。

TIGP-X Pilot Program雖盡量要求申請人應擔任該學生之共同指導教授，惟若某些大學採取嚴謹作法無法接受共同指導制度，申請人可爭取擔任thesis committee member。屆時亦採取個案認定，如有促進雙方實質合作之事實則應能被接受。",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,TIGP-X Pilot Program,"為推動本院研究人員對TIGP-X計畫之?解並提升申請意願，本院於試辦期（112?10月至113 ?9月）採「隨到隨審」之申請與審查方式，?受每??3次審查時程、所、中心進?初審，申請人也不受同一年度獲本院核定補助1名博士生之限制。入院研究至少3個月，最多以3年為限。

申請案獲通過後，中研院與申請人所屬之研究所/中心協助分工為以下兩種情況:
情況一：申請案之博士生預計在本院進行研究會連續進行不超過180天：
答：入境前/後 (本院國際處)
(1) 本院國際處會發函給獲選博士生所在地之外館，請外館協助辦理[停留]簽證相關事宜。
(2) TIGP住宿住房預定與房費支付等相關訊息通知
(3) 提供由國內機場至TIGP宿舍之交通參考資訊
(4) 機票款核銷 (入境後)
(5) 每個月發送獎學金(新臺幣現金形式)

入境後: (接待PI之所、中心)
(1) 同意書簽署
(2) 保險事宜


情況二: 申請案之博士生預計在本院進行研究會連續進行超過180天以上：
答：入境前: (本院國際處)
(1) 本院國際處會發函給獲選博士生所在地之外館，請外館協助辦理[居留]簽證相關事宜。
(2) TIGP住宿住房預定與房費支付等相關訊息通知
(3) 提供由臺灣桃園國際機場至TIGP宿舍之交通參考資訊。
(4) 機票款核銷 (入境後)

入境後: (接待PI之所、中心)
(1)每個月發送獎學金
(2)保險事宜
(3)居留簽證更換ARC之申辦程序，以及每年ARC更新提醒與協助
(4)入境超過6個月後申辦健保、入籍之提醒與協助
(5)郵局戶頭之申辦程序
(6)一年後搬出TIGP宿舍之租屋協助

",學術,https://dia.sinica.edu.tw/pages/3896,沈德修小姐 02-27871412
獎助學金,國際研究生學程暑期實習計畫 (TIIP),"國際研究生學程暑期實習計畫(簡稱TIIP或TIGP-IIP)，成立宗旨為提供國外年輕學人實習機會，增進其對中研院國際研究生學程之瞭解，進而提高就讀意願。
本計畫申請期間為臺灣時間每年12月15日至隔年1月15日，僅提供線上系統進行申請方式申請，申請者依研究興趣與學術經驗需在申請系統內依志願勾選三位指導老師。

國際研究生學程暑期實習計畫實習期間為2個月，第一梯次為5月1日至6月30日，第二梯次為6月1日至7月31日，第三梯次為7月1日至8月31日。

申請條件
(1)外國籍
(2)在學生：最後一年之大學學生或研究所碩士班之在學生，若為5年學士碩士雙學位制，則需為四年級以上之學生
(3)已獲得學士或碩士學位者。

實習生實習期間不可兼任其他工作，並需遵守本院之相關規定，如有違反，得終止其實習計畫。",學術,https://tigpsip.apps.sinica.edu.tw/index.php,陳枳玲小姐 2787-1405
獎助學金,國際研究生學程暑期實習計畫 (TIIP),"國際研究生學程暑期實習計畫申請時繳交下列文件
(1)履歷表
(2)讀書計畫
(3)二封推薦信函 (申請者填妥推薦人後，申請系統會自動寄送推薦人連結及帳號、密碼，推薦人需至系統內填寫推薦信，推薦人須於台灣時間1月15日前完成)
(4)蓋有學校印戳之正式成績單
(5)英語檢定成績單(選擇性提供)",學術,https://tigpsip.apps.sinica.edu.tw/index.php,陳枳玲小姐 2787-1405
